char1,char1wins,char2wins,char2,p1id,p2id
Marth,2,0,Falco,8,395
Marth,1,2,Sheik,8,403
Marth,3,2,Peach,8,414
Fox,2,3,Captain Falcon,8,430
Marth,1,3,Captain Falcon,8,430
Marth,3,0,Fox,8,2027
Marth,3,0,Marth,8,3869
Falco,8,4,Marth,9,26
Falco,7,4,Ice Climbers,9,25
Fox,0,1,Ice Climbers,9,25
Fox,1,2,Samus,9,24
Falco,5,2,Captain Falcon,9,23
Falco,1,0,Fox,9,22
Falco,2,0,Marth,9,22
Captain Falcon,0,1,Captain Falcon,9,20
Donkey Kong,3,0,Sheik,9,20
Falco,20,9,Captain Falcon,9,20
Falco,5,1,Falco,9,20
Falco,1,0,Marth,9,20
Falco,1,3,Sheik,9,20
Falco,2,0,Sheik,9,18
Falco,6,10,Fox,9,17
Fox,0,1,Fox,9,17
Falco,6,1,Fox,9,15
Falco,3,0,Fox,9,14
Falco,0,1,Samus,9,13
Falco,3,7,Sheik,9,13
Fox,0,1,Sheik,9,13
Falco,19,16,Fox,9,12
Falco,2,4,Sheik,9,11
Fox,0,1,Marth,9,11
Fox,3,4,Sheik,9,11
Captain Falcon,0,1,Ice Climbers,9,39
Donkey Kong,0,1,Ice Climbers,9,39
Fox,3,2,Ice Climbers,9,39
Falco,1,2,Sheik,9,40
Captain Falcon,6,6,Samus,9,43
Falco,5,6,Samus,9,43
Fox,0,2,Samus,9,43
Falco,2,3,Fox,9,47
Falco,3,1,Jigglypuff,9,388
Fox,0,1,Jigglypuff,9,388
Falco,3,1,Captain Falcon,9,391
Falco,3,4,Sheik,9,403
Fox,2,2,Sheik,9,403
Falco,1,2,Ice Climbers,9,407
Fox,3,1,Ice Climbers,9,407
Falco,1,1,Peach,9,414
Fox,2,1,Peach,9,414
Falco,3,2,Captain Falcon,9,430
Captain Falcon,0,1,Peach,9,437
Falco,6,0,Peach,9,437
Falco,3,1,Marth,9,457
Falco,3,0,Marth,9,516
Fox,2,3,Ice Climbers,9,517
Falco,0,2,Fox,9,2027
Falco,1,2,Ice Climbers,27,25
Falco,2,0,Fox,27,17
Falco,2,0,Ice Climbers,27,39
Falco,2,0,Sheik,27,40
Falco,0,2,Samus,27,43
Marth,1,3,Samus,26,24
Marth,1,5,Captain Falcon,26,23
Marth,3,2,Peach,26,21
Marth,0,3,Captain Falcon,26,20
Marth,2,2,Fox,26,17
Marth,1,3,Fox,26,15
Marth,1,10,Sheik,26,13
Marth,5,7,Fox,26,12
Marth,3,9,Sheik,26,11
Marth,3,1,Fox,26,38
Marth,3,6,Samus,26,43
Marth,3,2,Fox,26,47
Marth,4,4,Fox,26,49
Marth,2,3,Fox,26,378
Marth,5,2,Jigglypuff,26,388
Marth,3,1,Ice Climbers,26,392
Marth,2,0,Ice Climbers,26,407
Marth,3,0,Sheik,26,413
Marth,1,4,Captain Falcon,26,430
Marth,0,2,Captain Falcon,26,436
Marth,2,8,Peach,26,437
Marth,3,0,Marth,26,3869
Ice Climbers,2,4,Captain Falcon,25,23
Ice Climbers,2,3,Peach,25,21
Ice Climbers,1,3,Captain Falcon,25,20
Ice Climbers,2,3,Luigi,25,13
Ice Climbers,2,4,Samus,25,13
Ice Climbers,3,5,Fox,25,12
Ice Climbers,2,0,Doctor Mario,25,11
Ice Climbers,1,0,Marth,25,11
Ice Climbers,2,3,Sheik,25,40
Ice Climbers,3,0,Samus,25,43
Ice Climbers,0,3,Fox,25,47
Ice Climbers,2,3,Fox,25,381
Ice Climbers,4,6,Peach,25,403
Ice Climbers,2,1,Fox,25,441
Ice Climbers,1,0,Fox,25,516
Ice Climbers,1,0,Marth,25,516
Samus,1,3,Fox,24,22
Samus,3,2,Fox,24,17
Samus,1,3,Fox,24,14
Samus,5,5,Fox,24,12
Samus,0,3,Sheik,24,11
Samus,0,2,Ice Climbers,24,39
Samus,5,7,Fox,24,47
Samus,0,3,Jigglypuff,24,388
Samus,4,2,Captain Falcon,24,430
Samus,1,3,Ganon,24,430
Samus,3,0,Fox,24,2027
Captain Falcon,3,1,Peach,23,21
Captain Falcon,3,6,Captain Falcon,23,20
Captain Falcon,3,2,Sheik,23,18
Captain Falcon,10,6,Fox,23,17
Captain Falcon,2,1,Yoshi,23,16
Captain Falcon,0,2,Fox,23,13
Captain Falcon,0,1,Sheik,23,13
Captain Falcon,10,7,Fox,23,12
Captain Falcon,3,1,Fox,23,38
Captain Falcon,8,2,Ice Climbers,23,39
Captain Falcon,3,0,Sheik,23,40
Captain Falcon,2,0,Marth,23,43
Captain Falcon,7,1,Samus,23,43
Captain Falcon,6,0,Fox,23,47
Captain Falcon,4,3,Fox,23,55
Captain Falcon,0,2,Fox,23,381
Captain Falcon,3,2,Captain Falcon,23,391
Captain Falcon,3,0,Ice Climbers,23,392
Captain Falcon,3,0,Fox,23,400
Captain Falcon,1,0,Fox,23,409
Captain Falcon,2,0,Samus,23,409
Captain Falcon,3,2,Peach,23,414
Captain Falcon,2,0,Captain Falcon,23,430
Captain Falcon,3,1,Fox,23,447
